time /s	I /mA	E /V
3.5400000E+00	1.5196E-03	2.2981E-01
3.5500000E+00	-2.4514E-04	2.1246E-01
3.5600000E+00	-1.8015E-03	1.9182E-01
3.5700000E+00	-3.1166E-03	1.6817E-01
3.5800000E+00	-4.2352E-03	1.4286E-01
3.5900000E+00	-5.2436E-03	1.1586E-01
3.6000000E+00	-6.0480E-03	8.8871E-02
3.6100000E+00	-6.6696E-03	6.2853E-02
3.6200000E+00	-7.1020E-03	3.8229E-02
3.6300000E+00	-7.3235E-03	1.5917E-02
3.6400000E+00	-7.2514E-03	-2.7203E-03
3.6500000E+00	-7.0227E-03	-1.7715E-02
3.6600000E+00	-6.4806E-03	-2.8381E-02
3.6700000E+00	-5.7100E-03	-3.4051E-02
3.6800000E+00	-4.6590E-03	-3.4728E-02
3.6900000E+00	-3.4939E-03	-3.0401E-02
3.7000000E+00	-2.1581E-03	-2.1060E-02
3.7100000E+00	-7.6343E-04	-7.0730E-03
3.7200000E+00	6.9351E-04	1.0902E-02
3.7300000E+00	2.1108E-03	3.2544E-02
3.7400000E+00	3.4758E-03	5.7179E-02
3.7500000E+00	4.6522E-03	8.3866E-02
3.7600000E+00	5.8774E-03	1.1183E-01
3.7700000E+00	6.8332E-03	1.3985E-01
3.7800000E+00	7.7905E-03	1.6746E-01
3.7900000E+00	8.6182E-03	1.9349E-01
3.8000000E+00	9.3925E-03	2.1682E-01
3.8100000E+00	9.8611E-03	2.3714E-01
3.8200000E+00	9.9374E-03	2.5346E-01
3.8300000E+00	9.4056E-03	2.6547E-01
3.8400000E+00	8.5114E-03	2.7276E-01
3.8500000E+00	7.1734E-03	2.7475E-01
3.8600000E+00	5.5660E-03	2.7178E-01
3.8700000E+00	3.7509E-03	2.6412E-01
3.8800000E+00	1.8719E-03	2.5144E-01
3.8900000E+00	-1.3809E-06	2.3478E-01
3.9000000E+00	-1.6492E-03	2.1447E-01
3.9100000E+00	-3.1453E-03	1.9117E-01
3.9200000E+00	-4.3383E-03	1.6586E-01
3.9300000E+00	-5.3775E-03	1.3920E-01
3.9400000E+00	-6.1202E-03	1.1217E-01
3.9500000E+00	-6.7013E-03	8.5904E-02
3.9600000E+00	-7.1746E-03	6.0882E-02
3.9700000E+00	-7.4117E-03	3.8553E-02
3.9800000E+00	-7.3848E-03	1.9243E-02
3.9900000E+00	-7.1686E-03	3.5845E-03
4.0000000E+00	-6.6042E-03	-7.4251E-03
4.0100000E+00	-5.8582E-03	-1.3706E-02
4.0200000E+00	-4.8370E-03	-1.5044E-02
4.0300000E+00	-3.6651E-03	-1.1072E-02
4.0400000E+00	-2.3019E-03	-2.4055E-03
4.0500000E+00	-8.9489E-04	1.0884E-02
4.0600000E+00	5.3357E-04	2.8551E-02
4.0700000E+00	1.8946E-03	4.9863E-02
4.0800000E+00	3.3270E-03	7.4174E-02
4.0900000E+00	4.5839E-03	1.0085E-01
4.1000000E+00	5.7254E-03	1.2855E-01
4.1100000E+00	6.9037E-03	1.5681E-01
4.1200000E+00	8.0046E-03	1.8450E-01
4.1300000E+00	8.8794E-03	2.1049E-01
4.1400000E+00	9.7530E-03	2.3414E-01
4.1500000E+00	1.0079E-02	2.5480E-01
4.1600000E+00	1.0097E-02	2.7176E-01
4.1700000E+00	9.6486E-03	2.8445E-01
4.1800000E+00	8.7728E-03	2.9212E-01
4.1900000E+00	7.5061E-03	2.9478E-01
4.2000000E+00	5.9933E-03	2.9246E-01
4.2100000E+00	4.1162E-03	2.8509E-01
4.2200000E+00	2.2606E-03	2.7312E-01
4.2300000E+00	4.1677E-04	2.5714E-01
4.2400000E+00	-1.3778E-03	2.3715E-01
4.2500000E+00	-3.0529E-03	2.1413E-01
4.2600000E+00	-4.4251E-03	1.8885E-01
4.2700000E+00	-5.5366E-03	1.6219E-01
4.2800000E+00	-6.2856E-03	1.3519E-01
4.2900000E+00	-6.9412E-03	1.0884E-01
4.3000000E+00	-7.3189E-03	8.3518E-02
4.3100000E+00	-7.6113E-03	6.0879E-02
4.3200000E+00	-7.5132E-03	4.1246E-02
4.3300000E+00	-7.1724E-03	2.5243E-02
4.3400000E+00	-6.7391E-03	1.3582E-02
